,State,0,1,2,3,4,5,6,7
0,andhra_pradesh,-0.05573239211108926,-0.15169435324571648,-1.4499997888905185,0.7775774116118058,-0.1388999779195161,-0.3702684968845572,-0.014524578482116609,-0.0033772580451292924
1,assam,-0.07489291114965667,0.8188615810226378,-1.514736315777255,-0.6805305536558112,-0.6622360844356231,-0.22824472968481993,0.012342270165924435,-0.02493112759275684
2,bihar,0.8787354070820452,-0.5807794159975557,-1.6246864103619965,0.19373040765060492,1.5336390405742715,-0.034455097655536275,0.0421413681286631,-0.00979031962950622
3,chattissgarh,0.585602725472034,-0.012242646341870177,-0.549096799929561,-0.19992077672079386,1.2708988283164036,1.3213176773353985,0.025650397100139617,-0.005708197348389357
4,daman_diu_dadra_nagar_haveli,0.013960258640306719,-0.39775278641666256,0.08717362961562673,-0.458297225770826,1.1893830129649579,-1.4227387079826486,-0.011974181727978464,-0.029907346916500852
5,goa,0.3521554045882001,0.7264994782029676,-0.054555113085175765,-1.369335943001354,-0.1223518978491056,-0.1402105560379431,0.07050998006468878,-0.0035262269660347547
6,himachal_pradesh,0.22132341889030438,0.20416471039645695,-0.4203692824587938,1.1483283363262122,-0.7690344813839063,0.20294053995580041,-0.047288369958730224,0.04568687532062195
7,kerala,-0.05438923584560209,0.7997241855806712,-0.6986790714285601,-1.2041937559345595,-0.4737636144936643,-0.23001245047285215,-0.030049841783325437,0.013273434530586463
8,lakshadweep,0.7705911173665471,-2.1570899873977063,-0.4736633023083413,-1.652039650652143,-0.457867219535418,-0.6022021187500953,0.0908484586329994,0.06255224616505423
9,madhya_pradesh,-0.9916612208204245,-0.5828392021955209,0.40835847881741494,-0.21876288397544616,1.0018606335245208,-0.6774210920273852,0.03130813619652776,-0.004994028864673065
10,maharashtra,-2.0751083841279523,-0.16574915863002312,0.04361059024203343,0.1343386140496613,-0.12452034192723774,0.19176837173802885,0.07770551659020462,-0.007300413792376183
11,odisha,-0.29763787659961916,0.30464169549712333,0.4884218496546555,-0.45601461232625345,-0.2947490613836237,0.1322066923368215,-0.33487410827294806,0.0014157777980036473
12,pondicherry,0.24179017272772182,-0.2652826326650343,1.3259266912527117,0.005243418487398958,0.8062911777263404,-0.4362774455348619,0.007780106029761467,0.013710420622527976
13,punjab,-0.1518170789134518,-0.5018781832996284,1.2748632901474235,0.8135637109987798,0.8133758512138621,-0.3285890331619195,-0.019140379285325596,-0.01720187802492511
14,rajasthan,-0.028523465675325387,0.1858040097363122,0.4877171732716019,-0.1807366179529483,-0.42162488067031295,0.49784428285049737,0.026235953370898037,-0.01569914873168334
15,tripura,0.5456277411146137,-0.4279735759373344,1.1429612298787712,0.5030487150473307,0.5141911003016529,-0.6206327024147632,0.006153353172853154,0.015105263465050365
16,uttar_pradesh_uttarakhand,0.2379942670084585,-0.1428897186624935,1.0323736815127527,1.1670534903952987,-0.14896022331865663,0.02444860137179125,-0.05314350197928344,-0.014725569018202
17,west_bengal,0.2923817229505894,0.24035877513811152,1.5632304050122225,-0.30624141551745154,-0.2973925233039153,0.3352034503222997,0.03588391198861523,0.010759291412530755
