,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,B.O.D. (mg/l) : Min : < 3 mg/l,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,CONDUCTIVITY (µmhos/cm) : Min,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,NITRATE- N+ NITRITE-N (mg/l) : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,TEMPERATURE ºC : Min,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,pH : Min : 6.5-8.5,B.O.D. (mg/l) : Max : < 3 mg/l_imp,B.O.D. (mg/l) : Mean : < 3 mg/l_imp,B.O.D. (mg/l) : Min : < 3 mg/l_imp,CONDUCTIVITY (µmhos/cm) : Max_imp,CONDUCTIVITY (µmhos/cm) : Mean_imp,CONDUCTIVITY (µmhos/cm) : Min_imp,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml_imp,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml_imp,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml_imp,TEMPERATURE ºC : Max_imp,TEMPERATURE ºC : Mean_imp,TEMPERATURE ºC : Min_imp,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml_imp,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml_imp,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml_imp,STATION CODE,LOCATIONS,State
430,1.6,1.0,0.4,1777.0,1729.0,1680.0,2124.0033520230695,1028.1250544553056,580.7076638838349,0.0,0.0,0.0,29.0,28.5,28.0,15032.824051583275,3789.446615273772,617.7509842254028,7.5,7.4,7.3,1.6,1.0,0.4,1777.0,1729.0,1680.0,1887.5023041474653,1088.8341013824884,562.2764976958525,29.0,28.5,28.0,14249.386440677967,4048.237288135593,825.1254237288135,1774.0,"TOPSIA CALCUTTA, WEST BENGAL",west_bengal
431,1.5,1.1,0.7,1833.0,1824.0,1815.0,2072.134528085799,1038.9748043991076,570.9323994263395,0.1,0.1,0.0,28.0,27.5,27.0,14915.660346695453,3797.459001126267,661.8196133442782,7.3,7.3,7.2,1.5,1.1,0.7,1833.0,1824.0,1815.0,1887.5023041474653,1088.8341013824884,562.2764976958525,28.0,27.5,27.0,14249.386440677967,4048.237288135593,825.1254237288135,1775.0,"DHAPA CALCUTTA, WEST BENGAL",west_bengal
432,1.0,0.7,0.4,1231.0,1220.0,1209.0,2080.135591214525,1036.5650711797641,573.9428284169268,0.0,0.0,0.0,28.0,27.5,27.0,14978.563771120085,3777.4095774948023,656.2042878471682,7.5,7.4,7.3,1.0,0.7,0.4,1231.0,1220.0,1209.0,1887.5023041474653,1088.8341013824884,562.2764976958525,28.0,27.5,27.0,14249.386440677967,4048.237288135593,825.1254237288135,1776.0,"GARIA CALCUTTA, WEST BENGAL",west_bengal
433,1.0,0.7,0.3,926.0,889.0,852.0,7.0,7.0,7.0,0.6,0.3,0.1,28.0,27.5,27.0,9.0,9.0,9.0,7.8,7.7,7.7,1.0,0.7,0.3,926.0,889.0,852.0,7.0,7.0,7.0,28.0,27.5,27.0,9.0,9.0,9.0,1777.0,"BEHALA CALCUTTA, WEST BENGAL",west_bengal
434,2.0,2.0,2.0,817.0,763.0,708.0,2181.415256591625,1016.4843947242481,591.3461263718989,0.1,0.0,0.0,28.0,28.0,28.0,15788.726319771538,3705.277806115719,768.4413376387645,7.6,7.4,7.3,2.0,2.0,2.0,817.0,763.0,708.0,1887.5023041474653,1088.8341013824884,562.2764976958525,28.0,28.0,28.0,14249.386440677967,4048.237288135593,825.1254237288135,1778.0,"DOMJUR HOWRAH, WEST BENGAL",west_bengal
435,1.1,0.9,0.7,1030.0,984.0,938.0,2321.39573281845,991.9914903172483,611.6240105458731,1.0,0.5,0.1,29.0,29.0,29.0,17484.71623882635,3483.093935291937,832.6937620780257,7.9,7.6,7.2,1.1,0.9,0.7,1030.0,984.0,938.0,1887.5023041474653,1088.8341013824884,562.2764976958525,29.0,29.0,29.0,14249.386440677967,4048.237288135593,825.1254237288135,1779.0,"DANKUNI (NEAR COAL COMPLEX), WEST BENGAL",west_bengal
436,1.8,1.1,0.5,924.0,593.0,261.0,2193.845136508004,1015.8936674341544,596.6583982113624,0.9,0.5,0.1,28.0,28.0,28.0,14760.20513897612,4036.3963178653007,790.2062324699307,7.9,7.6,7.3,1.8,1.1,0.5,924.0,593.0,261.0,1887.5023041474653,1088.8341013824884,562.2764976958525,28.0,28.0,28.0,14249.386440677967,4048.237288135593,825.1254237288135,1813.0,"RISHRA, WEST BENGAL",west_bengal
437,0.6,0.4,0.3,2444.0,2407.0,2370.0,900.0,900.0,900.0,0.1,0.0,0.0,26.0,26.0,26.0,1600.0,1600.0,1600.0,7.6,7.5,7.3,0.6,0.4,0.3,2444.0,2407.0,2370.0,900.0,900.0,900.0,26.0,26.0,26.0,1600.0,1600.0,1600.0,1931.0,COSSIPORE - NORTH KOLKATA,west_bengal
438,1.3,0.8,0.3,1119.0,992.0,864.0,7.0,7.0,7.0,0.2,0.1,0.1,27.0,26.5,26.0,14.0,14.0,14.0,7.7,7.6,7.6,1.3,0.8,0.3,1119.0,992.0,864.0,7.0,7.0,7.0,27.0,26.5,26.0,14.0,14.0,14.0,1932.0,CENTRAL KOLKATA,west_bengal
439,1.1,0.7,0.3,1486.0,873.0,260.0,540.0,520.0,500.0,0.7,0.4,0.0,30.0,29.0,28.0,1600.0,1260.0,920.0,8.0,7.6,7.3,1.1,0.7,0.3,1486.0,873.0,260.0,540.0,520.0,500.0,30.0,29.0,28.0,1600.0,1260.0,920.0,1933.0,"NEAR GALVANISATION UNIT, HOWRAH",west_bengal
