,State,B.O.D. (mg/l) : Mean : < 3 mg/l,CONDUCTIVITY (µmhos/cm) : Mean,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,NITRATE- N+ NITRITE-N (mg/l) : Mean,TEMPERATURE ºC : Mean,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml,pH : Mean : 6.5-8.5,B.O.D. (mg/l) : Mean : < 3 mg/l_imp,CONDUCTIVITY (µmhos/cm) : Mean_imp,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml_imp,TEMPERATURE ºC : Mean_imp,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml_imp
0,andhra_pradesh,6.828362128300748,1739.2,446.6254512849993,3.0533333333333332,20.88,828.111645107283,7.606666666666667,6.814778761061947,1739.2,478.9281105990783,20.88,1007.2474576271185
1,assam,1.3225806451612905,620.4193548387096,236.6451612903226,2.919354838709677,24.258064516129032,3947.2580645161293,6.509677419354837,1.3225806451612905,620.4193548387096,236.6451612903226,24.258064516129032,3947.2580645161293
2,bihar,2.738509595967864,926.0221772260867,235.79036798884798,0.0,24.5609756097561,825.8710950869579,7.478048780487807,2.623893805309734,922.8366445916114,243.96358323030233,24.5609756097561,899.5155022736666
3,chattissgarh,1.4229000727214292,894.0675437819446,942.257318287681,0.49000000000000005,27.06665445519704,415.8435385145036,7.3100000000000005,1.4047787610619467,893.665783664459,1088.8341013824884,27.0672437357631,419.1237288135593
4,daman_diu_dadra_nagar_haveli,4.3459173481052735,1896.6666666666667,569.4642799628647,3.0583333333333336,31.349999999999998,1539.9345309827852,6.925,4.134587020648968,1896.6666666666667,637.0698924731182,31.349999999999998,1697.598870056497
5,goa,0.9777777777777779,815.1111111111111,271.81371488278705,0.7444444444444444,30.666666666666668,1086.5100649044318,6.611111111111111,0.9777777777777779,815.1111111111111,279.4075780849974,30.666666666666668,991.608286252354
6,himachal_pradesh,0.810285877693118,579.975,861.4042379662247,1.48,19.994793956080777,3228.1322626225146,7.6225,0.8105973451327436,579.975,846.6464285714292,19.998798405466964,3045.477966101696
7,kerala,2.6264705882352946,250.05882352941177,174.11764705882354,2.6852941176470586,27.444117647058825,387.8529411764706,6.529411764705881,2.6264705882352946,250.05882352941177,174.11764705882354,27.444117647058825,387.8529411764706
8,lakshadweep,15.64952231044266,1229.7692307692307,5854.153846153846,0.0,29.76923076923077,63480.92307692308,11.407692307692308,2.623893805309734,1229.7692307692307,5854.153846153846,29.76923076923077,63480.92307692308
9,madhya_pradesh,11.006934826761599,1721.0,882.3087177336513,7.135714285714285,28.658077703550077,1080.3724799545973,7.564285714285715,10.979962073324907,1721.0,1088.8341013824884,28.665522290920922,1493.0133171912832
10,maharashtra,4.467741935483871,976.0645161290323,417.83264527046197,11.338709677419356,26.193548387096776,1528.9600210008487,7.696774193548387,4.467741935483871,976.0645161290323,437.2261037609632,26.193548387096776,1676.4144341170033
11,odisha,0.8933333333333336,505.0,10023.157507870921,3.3999999999999995,28.2,15497.818849251502,7.333333333333334,0.8933333333333336,505.0,10057.38924731183,28.2,15761.2790960452
12,pondicherry,2.844070305288707,1289.1333333333334,962.4077909295868,1.5800000000000003,30.446666666666665,3565.359850859437,7.366666666666668,2.7607079646017696,1289.1333333333334,1088.8341013824884,30.446666666666665,4048.237288135592
13,punjab,2.758709839988189,1273.7368421052631,1062.5507413874666,3.7052631578947373,25.878944713159086,3927.1075294771726,7.084210526315789,2.623893805309734,1273.7368421052631,1088.8341013824886,25.872437357630975,4048.2372881355927
14,rajasthan,1.9028985507246374,3625.5072463768115,654.9079372379445,2.1101449275362327,25.920289855072465,66.5559495750981,7.559420289855073,1.9028985507246374,3625.5072463768115,774.5923328658259,25.920289855072465,73.17735200196512
15,tripura,2.6884541389302394,184.0,1009.2119280395427,0.24285714285714288,27.442857142857143,3483.8219652493713,7.671428571428572,2.623893805309734,184.0,1088.8341013824884,27.442857142857143,4048.2372881355923
16,uttar_pradesh_uttarakhand,1.9312377533807195,1256.0588235294117,933.8347538487545,1.7029411764705884,23.84411764705882,3263.0297444375888,7.344117647058824,1.9171264966163453,1256.0588235294117,965.8830306316081,23.84411764705882,3582.8564307078777
17,west_bengal,0.9106382978723402,993.6382978723404,666.062059189692,0.5851063829787233,29.39787234042553,2388.6577174547856,7.451063829787234,0.9106382978723402,993.6382978723404,715.0891263849402,29.39787234042553,2582.5081139560057
